"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgvehicles_jungleboots_beige0","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.","$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured.",
"str_cfgvehicles_joggingshoes_white0","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.",
"str_cfgvehicles_joggingshoes_violet0","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.",
"str_cfgvehicles_joggingshoes_red0","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.",
"str_cfgvehicles_joggingshoes_colorbase1","Shoes designed for running. Not very suitable for difficult terrain, nor for rainy weather.","Shoes designed for running. Not very suitable for difficult terrain, nor for rainy weather.","Boty určené na běhání. Do obtížného terénu a do deště se moc nehodí.","Schuhe für Leichtathleten. Nicht für schwieriges Gelände oder regnerisches Wetter geeignet.","Обувь для бега. Не очень-то подходит для пересеченной местности, а также для дождливой погоды.","Buty sportowe. Nie nadają się do biegania po trudnym terenie ani w deszczu.","Shoes designed for running. Not very suitable for difficult terrain, nor for rainy weather.","Scarpe concepite per la corsa. Non sono molto adatte all’utilizzo su terreni accidentati, né durante le giornate piovose.","Zapatillas diseñadas para correr. No son aptas para terrenos complicados ni para climas lluviosos.","Des chaussures conçues pour la course. Déconseillées en terrain difficile et lorsqu'il pleut.","為跑步設計的鞋子。不適合崎嶇地形，也不適合多雨的天氣。","走るためにデザインされた靴。不整地形や雨には向かない。","Calçados concebidos para corrida. Não são muito adequados para terrenos difíceis, nem para um clima chuvoso.","为跑步而设计的鞋子。既不适合崎岖的地形，也不太适合雨天。",
"str_cfgvehicles_joggingshoes_colorbase0","Running Shoes","Running Shoes","Běžecké boty","Laufschuhe","Беговая обувь","Buty do biegania","Running Shoes","Scarpe da corsa","Zapatillas de correr","Chaussures de course","跑鞋","ランニングシューズ","Tênis de corrida","跑鞋",
"str_cfgvehicles_joggingshoes_blue0","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.",
"str_cfgvehicles_joggingshoes_black0","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.","$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.",
"str_cfgvehicles_hikingbootslow_grey0","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured.",
"str_cfgvehicles_hikingbootslow_colorbase1","Versatile boots, with their design making them the middle ground between hiking boots and athletic shoes.","Versatile boots, with their design making them the middle ground between hiking boots and athletic shoes.","Všestranná obuv, jejíž design ji řadí někam mezi turistické a sportovní boty.","Vielseitige Schuhe, die einen Kompromiss aus Wanderschuhen und Turnschuhen darstellen.","Эти универсальные ботинки представляют собой что-то среднее между походными и спортивными ботинками.","Wszechstronne obuwie, plasujące się pomiędzy butami do chodzenia po górach a butami sportowymi.","Versatile boots, with their design making them the middle ground between hiking boots and athletic shoes.","Calzature versatili caratterizzate da uno stile che le colloca a metà strada tra gli scarponi da hiking e le scarpe sportive.","Calzado versátil, con un diseño a medio camino entre las botas de senderismo y los tenis.","Des chaussures polyvalentes, entre la chaussure de randonnée et la chaussure de sport.","用途廣泛的鞋款，介於登山健行與運動之間。","ハイキングブーツと運動靴の間を取るようにデザインされた多様性のあるブーツ。","Calçados versáteis, seu design os torna o meio termo entre botas de trilha e tênis atléticos.","多用途靴子，其设计介于登山靴和运动鞋之间。",
"str_cfgvehicles_hikingbootslow_colorbase0","Trail Shoes","Trail Shoes","Trailové boty","Leichte Wanderschuhe
","Треккинговые ботинки","Buty turystyczne","Trail Shoes","Scarpe da trail","Zapatillas de montaña","Chaussures de trail","越野鞋","トレイルシューズ","Tênis de caminhada","徒步鞋",
"str_cfgvehicles_hikingbootslow_blue0","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured.",
"str_cfgvehicles_hikingbootslow_black0","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured.",
"str_cfgvehicles_hikingbootslow_beige0","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.","$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured.",
"str_cfgvehicles_hikingboots_colorbase1","Highly durable, water resistant boots, designed to protect the feet and ankles during all types of outdoor activities.","Highly durable, water resistant boots, designed to protect the feet and ankles during all types of outdoor activities.","Velmi pevné, voděodolné boty, které chrání chodidla a kotníky při náročném pobytu v přírodě.","Sehr robuste, wasserdichte Schuhe, die Füße und Knöchel bei jeglicher Outdooraktivität schützen.","Очень прочные водостойкие ботинки. Защищают ступни и лодыжки во время занятий на открытом воздухе.","Wytrzymałe i wodoodporne buty, chroniące stopy i kostki w trakcie przeróżnych aktywności na świeżym powietrzu.","Highly durable, water resistant boots, designed to protect the feet and ankles during all types of outdoor activities.","Scarponi molto durevoli e resistenti all’acqua realizzati per proteggere i piedi e le caviglie durante ogni tipo di attività all’aperto.","Muy férreas, resistentes al agua y diseñadas para proteger los pies y los tobillos durante diversos tipos de actividades al aire libre.","Des chaussures résistantes et étanches. Montantes, elles protègent le pied mais aussi la cheville lors des activités en extérieur.","非常耐用的防水鞋，可以保護雙腳與腳踝，適用於所有類型的戶外活動。","とても丈夫で耐水性のあるブーツ。あらゆる屋外活動において足と足首を保護するようにデザインされている。","Botas de alta durabilidade e resistentes à água, projetadas para proteger os pés e tornozelos durante todos os tipos de atividades ao ar livre.","特别耐穿的防水靴，可在所有类型的户外活动中保护双脚和脚踝。",
"str_cfgvehicles_hikingboots_colorbase0","Hiking Boots","Hiking Boots","Turistické boty","Wanderschuhe","Походные ботинки","Buty górskie","Hiking Boots","Scarponi da hiking","Botas de senderismo","Chaussures de randonnée","健行鞋","ハイキングブーツ","Botas de caminhada","登山靴",
"str_cfgvehicles_hikingboots_brown0","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured.",
"str_cfgvehicles_hikingboots_black0","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.","$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured.",
"str_cfgvehicles_femalefeetabove0","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female","$UNT$Bare feet above female",
"str_cfgvehicles_combatboots_grey0","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.",
